AMOUNT,CNAME,DATE,TYPE,CURRENCY,DESCRIPTION,RNAME
44.18,Dining,2024-10-01,spending,HKD,Morning coffee,Starbucks
250.4,Other,2024-10-01,spending,HKD,Convenience - Circle K,Circle K
3000.0,Rent,2024-10-01,spending,HKD,Monthly rent,Landlord
47.22,Dining,2024-10-02,spending,HKD,Morning coffee,Starbucks
42.07,Dining,2024-10-02,spending,HKD,Morning coffee,Starbucks
686.48,Dining,2024-10-03,spending,HKD,Food - Keeta,Keeta
1116.31,Shopping,2024-10-03,spending,HKD,Purchase - ZARA,ZARA
40.89,Dining,2024-10-04,spending,HKD,Morning coffee,Starbucks
96.51,Transport,2024-10-04,spending,HKD,MTR,MTR
127.46,Transport,2024-10-04,spending,HKD,MTR,MTR
94.03,Entertainment,2024-10-05,spending,HKD,Netflix subscription,Netflix
1180.31,Shopping,2024-10-05,spending,HKD,Purchase - ZARA,ZARA
38.72,Dining,2024-10-06,spending,HKD,Morning coffee,Starbucks
38.37,Dining,2024-10-07,spending,HKD,Morning coffee,Starbucks
378.77,Dining,2024-10-08,spending,HKD,Food - Pacific Coffee,Pacific Coffee
42.59,Dining,2024-10-08,spending,HKD,Morning coffee,Starbucks
57.26,Entertainment,2024-10-08,spending,HKD,Spotify subscription,Spotify
134.48,Transport,2024-10-08,spending,HKD,MTR,MTR
574.38,Dining,2024-10-09,spending,HKD,Food - Foodpanda,Foodpanda
684.32,Dining,2024-10-09,spending,HKD,Food - Pacific Coffee,Pacific Coffee
39.12,Dining,2024-10-10,spending,HKD,Morning coffee,Starbucks
41.3,Dining,2024-10-10,spending,HKD,Morning coffee,Starbucks
181.74,Other,2024-10-10,spending,HKD,Convenience - 7-Eleven,7-Eleven
40.53,Dining,2024-10-11,spending,HKD,Morning coffee,Starbucks
44.3,Dining,2024-10-11,spending,HKD,Morning coffee,Starbucks
135.93,Transport,2024-10-11,spending,HKD,Uber,Uber
40.09,Dining,2024-10-12,spending,HKD,Morning coffee,Starbucks
73.47,Entertainment,2024-10-12,spending,HKD,Disney+ subscription,Disney+
46.47,Dining,2024-10-13,spending,HKD,Morning coffee,Starbucks
116.4,Transport,2024-10-13,spending,HKD,HKTaxi,HKTaxi
390.45,Dining,2024-10-14,spending,HKD,Food - Fuel Espresso,Fuel Espresso
133.38,Transport,2024-10-14,spending,HKD,MTR,MTR
92.83,Transport,2024-10-15,spending,HKD,Uber,Uber
398.64,Dining,2024-10-16,spending,HKD,Food - Fuel Espresso,Fuel Espresso
42.81,Dining,2024-10-17,spending,HKD,Morning coffee,Starbucks
44.49,Dining,2024-10-17,spending,HKD,Morning coffee,Starbucks
148.3,Transport,2024-10-17,spending,HKD,MTR,MTR
86.61,Transport,2024-10-17,spending,HKD,Uber,Uber
379.65,Dining,2024-10-18,spending,HKD,Food - Keeta,Keeta
77.06,Entertainment,2024-10-18,spending,HKD,YouTube Premium subscription,YouTube Premium
82.38,Transport,2024-10-18,spending,HKD,Uber,Uber
44.62,Dining,2024-10-19,spending,HKD,Morning coffee,Starbucks
154.78,Transport,2024-10-19,spending,HKD,MTR,MTR
87.2,Transport,2024-10-20,spending,HKD,MTR,MTR
233.61,Other,2024-10-21,spending,HKD,Convenience - Circle K,Circle K
42.39,Dining,2024-10-22,spending,HKD,Morning coffee,Starbucks
58.62,Entertainment,2024-10-22,spending,HKD,Apple subscription,Apple
147.22,Transport,2024-10-22,spending,HKD,MTR,MTR
42.39,Dining,2024-10-23,spending,HKD,Morning coffee,Starbucks
1423.61,Shopping,2024-10-23,spending,HKD,Purchase - Uniqlo,Uniqlo
147.0,Transport,2024-10-23,spending,HKD,MTR,MTR
234.25,Other,2024-10-24,spending,HKD,Convenience - Circle K,Circle K
129.63,Transport,2024-10-24,spending,HKD,MTR,MTR
79.72,Transport,2024-10-24,spending,HKD,Uber,Uber
118.47,Transport,2024-10-25,spending,HKD,MTR,MTR
434.12,Dining,2024-10-27,spending,HKD,Food - Pacific Coffee,Pacific Coffee
517.13,Dining,2024-10-28,spending,HKD,Food - Fuel Espresso,Fuel Espresso
47.6,Dining,2024-10-28,spending,HKD,Morning coffee,Starbucks
38.22,Dining,2024-10-28,spending,HKD,Morning coffee,Starbucks
104.72,Transport,2024-10-28,spending,HKD,HKTaxi,HKTaxi
76.98,Transport,2024-10-28,spending,HKD,HKTaxi,HKTaxi
637.6,Dining,2024-10-29,spending,HKD,Food - Pacific Coffee,Pacific Coffee
1479.77,Shopping,2024-10-29,spending,HKD,Purchase - Uniqlo,Uniqlo
578.46,Dining,2024-10-30,spending,HKD,Food - Fuel Espresso,Fuel Espresso
20000.0,Salary,2024-10-31,income,HKD,Monthly salary,Design Studio HK
371.85,Dining,2024-11-01,spending,HKD,Food - % Arabica,% Arabica
41.64,Dining,2024-11-01,spending,HKD,Morning coffee,Starbucks
3000.0,Rent,2024-11-01,spending,HKD,Monthly rent,Landlord
75.02,Transport,2024-11-01,spending,HKD,HKTaxi,HKTaxi
62.11,Transport,2024-11-02,spending,HKD,HKTaxi,HKTaxi
84.98,Transport,2024-11-02,spending,HKD,MTR,MTR
82.85,Transport,2024-11-02,spending,HKD,MTR,MTR
561.33,Dining,2024-11-04,spending,HKD,Food - Fuel Espresso,Fuel Espresso
188.52,Other,2024-11-04,spending,HKD,Convenience - 7-Eleven,7-Eleven
255.91,Other,2024-11-04,spending,HKD,Convenience - ATM,ATM
94.55,Entertainment,2024-11-05,spending,HKD,Netflix subscription,Netflix
45.98,Dining,2024-11-06,spending,HKD,Morning coffee,Starbucks
47.02,Dining,2024-11-06,spending,HKD,Morning coffee,Starbucks
1287.94,Shopping,2024-11-06,spending,HKD,Purchase - Taobao,Taobao
94.43,Transport,2024-11-06,spending,HKD,Uber,Uber
387.18,Dining,2024-11-07,spending,HKD,Food - Foodpanda,Foodpanda
46.04,Dining,2024-11-08,spending,HKD,Morning coffee,Starbucks
58.23,Entertainment,2024-11-08,spending,HKD,Spotify subscription,Spotify
437.71,Dining,2024-11-09,spending,HKD,Food - Fuel Espresso,Fuel Espresso
45.57,Dining,2024-11-09,spending,HKD,Morning coffee,Starbucks
38.14,Dining,2024-11-10,spending,HKD,Morning coffee,Starbucks
68.03,Transport,2024-11-10,spending,HKD,MTR,MTR
73.64,Transport,2024-11-10,spending,HKD,Uber,Uber
47.15,Dining,2024-11-11,spending,HKD,Morning coffee,Starbucks
39.46,Dining,2024-11-11,spending,HKD,Morning coffee,Starbucks
94.41,Transport,2024-11-11,spending,HKD,HKTaxi,HKTaxi
441.79,Dining,2024-11-12,spending,HKD,Food - Pacific Coffee,Pacific Coffee
43.83,Dining,2024-11-12,spending,HKD,Morning coffee,Starbucks
74.16,Entertainment,2024-11-12,spending,HKD,Disney+ subscription,Disney+
44.2,Dining,2024-11-13,spending,HKD,Morning coffee,Starbucks
62.28,Transport,2024-11-13,spending,HKD,MTR,MTR
106.46,Transport,2024-11-13,spending,HKD,Uber,Uber
108.77,Transport,2024-11-15,spending,HKD,MTR,MTR
69.97,Transport,2024-11-15,spending,HKD,MTR,MTR
384.83,Dining,2024-11-16,spending,HKD,Food - Foodpanda,Foodpanda
44.92,Dining,2024-11-16,spending,HKD,Morning coffee,Starbucks
85.79,Transport,2024-11-16,spending,HKD,MTR,MTR
341.94,Dining,2024-11-17,spending,HKD,Food - % Arabica,% Arabica
43.93,Dining,2024-11-17,spending,HKD,Morning coffee,Starbucks
353.37,Dining,2024-11-18,spending,HKD,Food - Foodpanda,Foodpanda
535.65,Dining,2024-11-18,spending,HKD,Food - Pacific Coffee,Pacific Coffee
44.74,Dining,2024-11-18,spending,HKD,Morning coffee,Starbucks
78.99,Entertainment,2024-11-18,spending,HKD,YouTube Premium subscription,YouTube Premium
84.52,Transport,2024-11-18,spending,HKD,HKTaxi,HKTaxi
435.12,Dining,2024-11-19,spending,HKD,Food - % Arabica,% Arabica
432.23,Dining,2024-11-19,spending,HKD,Food - Fuel Espresso,Fuel Espresso
150.67,Other,2024-11-19,spending,HKD,Convenience - Circle K,Circle K
45.98,Dining,2024-11-20,spending,HKD,Morning coffee,Starbucks
851.82,Shopping,2024-11-20,spending,HKD,Purchase - Apple Store,Apple Store
71.55,Transport,2024-11-20,spending,HKD,MTR,MTR
40.22,Dining,2024-11-21,spending,HKD,Morning coffee,Starbucks
38.52,Dining,2024-11-22,spending,HKD,Morning coffee,Starbucks
41.51,Dining,2024-11-22,spending,HKD,Morning coffee,Starbucks
57.37,Entertainment,2024-11-22,spending,HKD,Apple subscription,Apple
478.62,Dining,2024-11-23,spending,HKD,Food - Keeta,Keeta
69.24,Transport,2024-11-23,spending,HKD,Uber,Uber
46.52,Dining,2024-11-24,spending,HKD,Morning coffee,Starbucks
1029.53,Shopping,2024-11-24,spending,HKD,Purchase - HKTVmall,HKTVmall
836.49,Shopping,2024-11-25,spending,HKD,Purchase - HKTVmall,HKTVmall
76.63,Transport,2024-11-25,spending,HKD,Uber,Uber
40.53,Dining,2024-11-26,spending,HKD,Morning coffee,Starbucks
138.52,Other,2024-11-26,spending,HKD,Convenience - 7-Eleven,7-Eleven
414.38,Dining,2024-11-27,spending,HKD,Food - Fuel Espresso,Fuel Espresso
166.38,Other,2024-11-27,spending,HKD,Convenience - Circle K,Circle K
98.74,Transport,2024-11-27,spending,HKD,HKTaxi,HKTaxi
40.61,Dining,2024-11-28,spending,HKD,Morning coffee,Starbucks
74.55,Transport,2024-11-28,spending,HKD,HKTaxi,HKTaxi
99.83,Transport,2024-11-28,spending,HKD,MTR,MTR
106.72,Transport,2024-11-28,spending,HKD,MTR,MTR
45.66,Dining,2024-11-29,spending,HKD,Morning coffee,Starbucks
39.61,Dining,2024-11-29,spending,HKD,Morning coffee,Starbucks
20000.0,Salary,2024-11-29,income,HKD,Monthly salary,Design Studio HK
1194.21,Shopping,2024-11-29,spending,HKD,Purchase - ZARA,ZARA
96.56,Transport,2024-11-29,spending,HKD,HKTaxi,HKTaxi
69.37,Transport,2024-11-29,spending,HKD,Uber,Uber
98.89,Transport,2024-11-30,spending,HKD,HKTaxi,HKTaxi
96.42,Transport,2024-11-30,spending,HKD,MTR,MTR
88.27,Transport,2024-11-30,spending,HKD,MTR,MTR
