AMOUNT,CNAME,DATE,TYPE,CURRENCY,DESCRIPTION,RNAME
50000.0,Initial Balance,2024-09-30,income,HKD,Opening balance,Bank Account
11000.0,Rent,2024-10-01,spending,HKD,Monthly rent,Landlord
45000.0,Salary,2024-10-01,income,HKD,Monthly salary,TechCorp HK
683.81,Subscriptions,2024-10-01,spending,HKD,24 Hour Fitness subscription,24 Hour Fitness
179.0,Subscriptions,2024-10-01,spending,HKD,Adobe CC subscription,Adobe CC
444.17,Dining,2024-10-02,spending,HKD,Dinner - Cafe de Coral,Cafe de Coral
164.98,Transport,2024-10-02,spending,HKD,MTR,MTR
543.56,Groceries,2024-10-03,spending,HKD,ParknShop,ParknShop
57.64,Subscriptions,2024-10-03,spending,HKD,Spotify subscription,Spotify
376.03,Dining,2024-10-04,spending,HKD,Dinner - Foodpanda,Foodpanda
114.79,Transport,2024-10-04,spending,HKD,Uber,Uber
149.68,Transport,2024-10-04,spending,HKD,Uber,Uber
92.99,Subscriptions,2024-10-05,spending,HKD,Netflix subscription,Netflix
442.75,Other,2024-10-06,spending,HKD,HSBC Credit Card,HSBC Credit Card
156.0,Subscriptions,2024-10-06,spending,HKD,ChatGPT Plus subscription,ChatGPT Plus
115.52,Transport,2024-10-06,spending,HKD,Uber,Uber
409.1,Other,2024-10-07,spending,HKD,HSBC Credit Card,HSBC Credit Card
78.04,Subscriptions,2024-10-07,spending,HKD,YouTube Premium subscription,YouTube Premium
474.08,Dining,2024-10-08,spending,HKD,Dinner - Foodpanda,Foodpanda
74.59,Subscriptions,2024-10-08,spending,HKD,Disney+ subscription,Disney+
466.97,Dining,2024-10-09,spending,HKD,Dinner - Cafe de Coral,Cafe de Coral
569.0,Groceries,2024-10-09,spending,HKD,Wellcome,Wellcome
439.82,Dining,2024-10-10,spending,HKD,Dinner - Tim Ho Wan,Tim Ho Wan
442.17,Other,2024-10-10,spending,HKD,HSBC Credit Card,HSBC Credit Card
852.0,Shopping,2024-10-10,spending,HKD,Apple Store,Apple Store
38.89,Subscriptions,2024-10-10,spending,HKD,HBO GO subscription,HBO GO
183.69,Transport,2024-10-10,spending,HKD,MTR,MTR
176.72,Transport,2024-10-10,spending,HKD,Uber,Uber
54.84,Subscriptions,2024-10-11,spending,HKD,Calm subscription,Calm
322.99,Dining,2024-10-12,spending,HKD,Dinner - Cafe de Coral,Cafe de Coral
47.78,Subscriptions,2024-10-12,spending,HKD,Viu subscription,Viu
142.61,Transport,2024-10-12,spending,HKD,MTR,MTR
507.11,Groceries,2024-10-13,spending,HKD,Wellcome,Wellcome
408.26,Other,2024-10-14,spending,HKD,Octopus Reload,Octopus Reload
78.81,Subscriptions,2024-10-14,spending,HKD,Notion subscription,Notion
