AMOUNT,CNAME,DATE,TYPE,CURRENCY,DESCRIPTION,RNAME
15000.0,Initial Balance,2024-09-30,income,HKD,Opening balance,Bank Account
294.56,Other,2024-10-01,spending,HKD,7-Eleven,7-Eleven
14000.0,Rent,2024-10-01,spending,HKD,Monthly rent,Landlord
364.66,Entertainment,2024-10-02,spending,HKD,Night out - HK Philharmonic,HK Philharmonic
162.98,Transport,2024-10-02,spending,HKD,MTR,MTR
209.83,Transport,2024-10-02,spending,HKD,Uber,Uber
279.3,Dining,2024-10-03,spending,HKD,Dinner at Black Sheep Restaurants,Black Sheep Restaurants
339.71,Dining,2024-10-03,spending,HKD,Dinner at Ozone,Ozone
211.44,Dining,2024-10-03,spending,HKD,Dinner at Ozone,Ozone
514.93,Entertainment,2024-10-03,spending,HKD,Night out - LKF Concepts,LKF Concepts
529.05,Entertainment,2024-10-03,spending,HKD,Night out - Volar,Volar
139.98,Transport,2024-10-03,spending,HKD,HKTaxi,HKTaxi
503.41,Entertainment,2024-10-04,spending,HKD,Night out - Volar,Volar
175.38,Transport,2024-10-05,spending,HKD,MTR,MTR
324.0,Entertainment,2024-10-06,spending,HKD,Night out - Volar,Volar
215.1,Transport,2024-10-06,spending,HKD,MTR,MTR
253.4,Dining,2024-10-07,spending,HKD,Dinner at Honi Honi,Honi Honi
466.36,Entertainment,2024-10-07,spending,HKD,Night out - LKF Concepts,LKF Concepts
201.08,Transport,2024-10-07,spending,HKD,Citybus,Citybus
164.81,Transport,2024-10-07,spending,HKD,Uber,Uber
277.84,Dining,2024-10-08,spending,HKD,Dinner at Ho Lee Fook,Ho Lee Fook
308.67,Dining,2024-10-08,spending,HKD,Dinner at Ozone,Ozone
328.2,Entertainment,2024-10-08,spending,HKD,Night out - Cinema City,Cinema City
761.52,Shopping,2024-10-08,spending,HKD,Purchase at Harvey Nichols,Harvey Nichols
309.03,Other,2024-10-09,spending,HKD,7-Eleven,7-Eleven
334.51,Other,2024-10-09,spending,HKD,HSBC Credit Card,HSBC Credit Card
125.01,Transport,2024-10-10,spending,HKD,HKTaxi,HKTaxi
637.22,Entertainment,2024-10-11,spending,HKD,Night out - LKF Concepts,LKF Concepts
345.92,Dining,2024-10-12,spending,HKD,Dinner at Ho Lee Fook,Ho Lee Fook
283.47,Dining,2024-10-13,spending,HKD,Dinner at Ozone,Ozone
195.13,Transport,2024-10-13,spending,HKD,HKTaxi,HKTaxi
262.84,Dining,2024-10-15,spending,HKD,Dinner at Black Sheep Restaurants,Black Sheep Restaurants
300.82,Dining,2024-10-15,spending,HKD,Dinner at Ozone,Ozone
275.81,Dining,2024-10-15,spending,HKD,Dinner at Ozone,Ozone
458.94,Other,2024-10-15,spending,HKD,HSBC Credit Card,HSBC Credit Card
842.65,Shopping,2024-10-15,spending,HKD,Purchase at Apple Store,Apple Store
274.16,Dining,2024-10-16,spending,HKD,Dinner at Nobu HK,Nobu HK
809.45,Shopping,2024-10-16,spending,HKD,Purchase at IFC Mall,IFC Mall
190.75,Transport,2024-10-16,spending,HKD,Citybus,Citybus
206.2,Dining,2024-10-17,spending,HKD,Dinner at Mott 32,Mott 32
872.86,Shopping,2024-10-17,spending,HKD,Purchase at Apple Store,Apple Store
227.7,Transport,2024-10-17,spending,HKD,HKTaxi,HKTaxi
164.82,Transport,2024-10-17,spending,HKD,MTR,MTR
408.74,Dining,2024-10-18,spending,HKD,Dinner at Nobu HK,Nobu HK
192.89,Transport,2024-10-18,spending,HKD,Uber,Uber
374.03,Other,2024-10-19,spending,HKD,HSBC Credit Card,HSBC Credit Card
241.79,Transport,2024-10-19,spending,HKD,Uber,Uber
326.66,Dining,2024-10-21,spending,HKD,Dinner at Mott 32,Mott 32
137.34,Transport,2024-10-21,spending,HKD,Uber,Uber
380.32,Dining,2024-10-22,spending,HKD,Dinner at Honi Honi,Honi Honi
322.87,Dining,2024-10-23,spending,HKD,Dinner at Mott 32,Mott 32
372.7,Dining,2024-10-25,spending,HKD,Dinner at Ozone,Ozone
35000.0,Salary,2024-10-25,income,HKD,Monthly salary,ABC Marketing Ltd
165.1,Transport,2024-10-25,spending,HKD,MTR,MTR
368.25,Dining,2024-10-26,spending,HKD,Dinner at Black Sheep Restaurants,Black Sheep Restaurants
290.2,Other,2024-10-26,spending,HKD,HSBC Credit Card,HSBC Credit Card
136.23,Transport,2024-10-26,spending,HKD,HKTaxi,HKTaxi
130.09,Transport,2024-10-26,spending,HKD,MTR,MTR
386.42,Dining,2024-10-27,spending,HKD,Dinner at Black Sheep Restaurants,Black Sheep Restaurants
585.05,Shopping,2024-10-27,spending,HKD,Purchase at Harvey Nichols,Harvey Nichols
131.11,Transport,2024-10-27,spending,HKD,MTR,MTR
391.9,Dining,2024-10-28,spending,HKD,Dinner at Honi Honi,Honi Honi
