AMOUNT,CNAME,DATE,TYPE,CURRENCY,DESCRIPTION,RNAME
406.59,Dining,2024-10-01,spending,HKD,Meal - Maxim's,Maxim's
10000.0,Rent,2024-10-01,spending,HKD,Monthly rent,Landlord
131.57,Transport,2024-10-01,spending,HKD,Citybus,Citybus
493.88,Groceries,2024-10-03,spending,HKD,Wellcome,Wellcome
526.87,Other,2024-10-03,spending,HKD,7-Eleven,7-Eleven
405.6,Dining,2024-10-04,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
455.94,Groceries,2024-10-07,spending,HKD,Wellcome,Wellcome
130.3,Transport,2024-10-08,spending,HKD,MTR,MTR
646.83,Utilities,2024-10-08,spending,HKD,Electricity bill,CLP Power
390.42,Groceries,2024-10-09,spending,HKD,ParknShop,ParknShop
297.59,Other,2024-10-09,spending,HKD,Lane Crawford,Lane Crawford
192.49,Utilities,2024-10-10,spending,HKD,Gas bill,Towngas
623.5,Groceries,2024-10-11,spending,HKD,Wellcome,Wellcome
397.75,Dining,2024-10-13,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
214.18,Transport,2024-10-14,spending,HKD,MTR,MTR
530.19,Groceries,2024-10-15,spending,HKD,Wellcome,Wellcome
476.69,Dining,2024-10-16,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
505.51,Groceries,2024-10-16,spending,HKD,ParknShop,ParknShop
417.72,Groceries,2024-10-16,spending,HKD,Wellcome,Wellcome
214.81,Transport,2024-10-16,spending,HKD,MTR,MTR
142.85,Transport,2024-10-17,spending,HKD,MTR,MTR
510.87,Groceries,2024-10-19,spending,HKD,ParknShop,ParknShop
193.6,Transport,2024-10-19,spending,HKD,Citybus,Citybus
513.4,Dining,2024-10-20,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
138.27,Transport,2024-10-21,spending,HKD,MTR,MTR
537.67,Dining,2024-10-22,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
149.94,Transport,2024-10-23,spending,HKD,Citybus,Citybus
405.62,Dining,2024-10-25,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
571.99,Groceries,2024-10-25,spending,HKD,ParknShop,ParknShop
178.43,Transport,2024-10-25,spending,HKD,Citybus,Citybus
356.68,Dining,2024-10-26,spending,HKD,Meal - Tim Ho Wan,Tim Ho Wan
800.0,Entertainment,2024-10-26,spending,HKD,Netflix,Netflix
179.21,Transport,2024-10-26,spending,HKD,Citybus,Citybus
375.53,Other,2024-10-27,spending,HKD,Lane Crawford,Lane Crawford
2000.0,Investment,2024-10-28,spending,HKD,Monthly DCA,IBKR
40000.0,Salary,2024-10-28,income,HKD,Monthly salary,Pacific Asset Management
4500.0,Savings,2024-10-28,spending,HKD,Auto-transfer to savings,Mox Bank
